J11, 8.5, ZXXX4, 08:00, 11:05, local, 0
B21, 4.5, ZXXX5, 08:00, 11:05, local, 0
J31, 8.5, ZXXX5, 08:00, 11:05, local, 0
Y41, 4.5, ZXXX1, 08:00, 11:05, local, 0
J111, 8.5, ZXXX4, 08:00, 11:05, local, 0
B211, 4.5, ZXXX5, 08:00, 11:05, local, 0
J311, 8.5, ZXXX5, 08:00, 11:05, local, 0
Y411, 4.5, ZXXX1, 08:00, 11:05, local, 0
B611, 6.5, ZXXX1, 08:00, 11:05, local, 0
B612, 6.5, ZXXX1, 08:00, 11:05, local, 0
B613, 6.5, ZXXX1, 08:00, 11:05, local, 0
B615, 6.5, ZXXX1, 08:00, 11:05, local, 1
J1, 8.5, ZXXX4, 08:25, 11:05, local, 0
B2, 4.5, ZXXX5, 08:25, 11:05, local, 0
Y3, 8.5, ZXXX5, 08:25, 11:05, local, 0
Y4, 4.5, ZXXX1, 08:25, 11:05, local, 0
Y6, 6.5, ZXXX1, 08:25, 11:05, local, 0
Y7, 3.5, ZXXX1, 08:25, 11:05, local, 0
J8, 8.5, ZXXX4, 08:25, 11:05, local, 0
J9, 4.5, ZXXX5, 08:25, 11:05, local, 0
Y10, 8.5, ZXXX5, 08:25, 11:05, local, 0
Y11, 4.5, ZXXX1, 08:25, 11:05, local, 0
B12, 6.5, ZXXX1, 08:25, 11:05, local, 0
J13, 3.5, ZXXX1, 08:25, 11:05, local, 1
J14, 6.5, ZXXX4, 09:13, 11:05, local, 0
B15, 8.5, ZXXX4, 09:13, 11:00, local, 0
B2, 4.5, ZXXX5, 09:13, 11:05, local, 0
J3, 8.5, ZXXX5, 09:13, 11:10, local, 0
Y4, 4.5, ZXXX1, 09:13, 11:15, local, 0
J5, 2.5, ZXXX1, 09:13, 11:20, local, 0
B6, 6.5, ZXXX1, 09:13, 11:25, local, 0
Y7, 3.5, ZXXX1, 09:13, 11:30, local, 0
B8, 6.5, ZXXX4, 09:13, 11:35, local, 0
J9, 10.5, ZXXX4, 09:13, 11:15, local, 0
J10, 8.5, ZXXX3, 09:13, 11:20, local, 0
B11, 5.5, ZXXX5, 09:13, 11:25, local, 1
Y12, 7.5, ZXXX5, 10:53, 11:30, local, 0
J13, 6.0, ZXXX2, 10:53, 11:00, local, 0
J14, 8.5, ZXXX4, 10:53, 11:30, local, 0
B15, 4.5, ZXXX5, 10:53, 11:40, local, 0
B16, 10.5, ZXXX3, 10:53, 12:00, local, 0
B17, 6.5, ZXXX3, 10:53, 12:05, local, 0
Y18, 3.5, ZXXX1, 10:53, 12:10, local, 0
J19, 4.5, ZXXX5, 10:53, 12:10, local, 0
B20, 2.5, ZXXX1, 10:53, 12:15, local, 0
J21, 6.5, ZXXX4, 10:53, 12:05, local, 0
Y22, 2.5, ZXXX1, 10:53, 12:05, local, 0
Y23, 3.5, ZXXX1, 10:53, 12:15, local, 1
Y24, 6.0, ZXXX2, 09:36, 12:25, local, 0
J25, 6.0, ZXXX2, 09:36, 12:00, local, 0
Y26, 8.5, ZXXX4, 09:36, 12:35, local, 0
Y27, 4.5, ZXXX5, 09:36, 12:40, local, 0
B28, 10.5, ZXXX3, 09:36, 12:00, local, 0
B29, 6.5, ZXXX3, 09:36, 12:05, local, 0
J30, 3.5, ZXXX1, 09:36, 13:10, local, 0
J31, 4.5, ZXXX5, 09:36, 13:10, local, 0
B32, 2.5, ZXXX1, 09:36, 13:15, local, 0
J33, 6.5, ZXXX4, 09:36, 13:05, local, 0
Y34, 2.5, ZXXX1, 09:36, 13:05, local, 0
B35, 3.5, ZXXX1, 09:36, 13:15, local, 1
Y36, 6.0, ZXXX2, 11:11, 13:25, local, 0
J37, 6.0, ZXXX2, 11:11, 13:00, local, 0
B38, 8.5, ZXXX4, 11:11, 13:35, local, 0
B39, 4.5, ZXXX5, 11:11, 13:40, local, 0
J40, 10.5, ZXXX3, 11:11, 13:00, local, 0
B41, 6.5, ZXXX3, 11:11, 13:05, local, 0
J42, 3.5, ZXXX1, 11:11, 13:11, local, 0
J43, 4.5, ZXXX5, 11:11, 13:11, local, 0
B44, 2.5, ZXXX1, 11:11, 13:15, local, 0
J45, 6.5, ZXXX4, 11:11, 13:05, local, 0
Y46, 2.5, ZXXX1, 11:11, 16:05, local, 0
B47, 3.5, ZXXX1, 11:11, 16:15, local, 1
J48, 6.0, ZXXX2, 12:23, 16:25, local, 0
J49, 6.0, ZXXX2, 12:23, 16:00, local, 0
J50, 8.5, ZXXX4, 12:23, 16:23, local, 0
B51, 4.5, ZXXX5, 12:23, 16:40, local, 0
J52, 10.5, ZXXX3, 12:23, 16:00, local, 0
B53, 6.5, ZXXX3, 12:23, 16:05, local, 0
J54, 3.5, ZXXX1, 12:23, 16:10, local, 0
J55, 4.5, ZXXX5, 12:23, 16:10, local, 0
B56, 2.5, ZXXX1, 12:23, 16:15, local, 0
J57, 6.5, ZXXX4, 12:23, 16:05, local, 0
Y58, 2.5, ZXXX1, 12:23, 16:05, local, 0
B59, 3.5, ZXXX1, 12:23, 16:15, local, 1
J60, 6.0, ZXXX2, 12:46, 16:25, local, 0
J61, 6.0, ZXXX2, 12:46, 16:00, local, 0
Y62, 8.5, ZXXX4, 12:46, 16:35, local, 0
B63, 4.5, ZXXX5, 12:46, 16:40, local, 0
J64, 10.5, ZXXX3, 12:46, 16:00, local, 0
B65, 6.5, ZXXX3, 12:46, 16:05, local, 0
J66, 3.5, ZXXX1, 12:46, 16:12, local, 0
Y67, 4.5, ZXXX5, 12:46, 16:12, local, 0
B68, 2.5, ZXXX1, 12:46, 16:15, local, 0
J69, 6.5, ZXXX4, 12:46, 16:05, local, 0
Y70, 2.5, ZXXX1, 12:46, 16:05, local, 0
B71, 3.5, ZXXX1, 12:46, 16:15, local, 1
J60, 6.0, ZXXX2, 13:02, 16:25, local, 0
J61, 6.0, ZXXX2, 13:02, 16:00, local, 0
